Subject	Time	Site	Organism	Recip_Ct
P24	35	Tongue	Pg	0.033869602032176
P25	35	Tongue	Pg	0.032190568163528
P11	35	Saliva	Pg	0.033014196104325
P12	35	Saliva	Pg	0.030916679548617
P13	35	Saliva	Pg	0.030826140567201
P14	35	Saliva	Pg	0.030280090840273
P15	35	Saliva	Pg	0.03725782414307
P16	35	Saliva	Pg	0.029931158335828
P17	35	Saliva	Pg	0.034340659340659
P18	35	Saliva	Pg	0.030501753850847
P19	35	Saliva	Pg	0.029682398337786
P20	35	Saliva	Pg	0.037432154220475
P21	35	Saliva	Pg	0.040355125100888
P22	35	Saliva	Pg	0.035001750087504
P23	35	Saliva	Pg	0.031751071598667
P24	35	Saliva	Pg	0.041536863966771
P25	35	Saliva	Pg	0.029559562518475
P11	-7	Tongue	Ff	0.02979293907344
P12	-7	Tongue	Ff	0.03858024691358
P13	-7	Tongue	Ff	0.027442371020856
P14	-7	Tongue	Ff	0.025
P15	-7	Tongue	Ff	0.028441410693971
P16	-7	Tongue	Ff	0.027225701061802
P17	-7	Tongue	Ff	0.027968116347364
P18	-7	Tongue	Ff	0.029962546816479
P19	-7	Tongue	Ff	0.029922202274087
P20	-7	Tongue	Ff	0.034710170079833
P21	-7	Tongue	Ff	0.025
P22	-7	Tongue	Ff	0.030289262456459
P23	-7	Tongue	Ff	0.02944207272192
P24	-7	Tongue	Ff	0.029886431560072
P25	-7	Tongue	Ff	0.0336757029803
P11	-7	Saliva	Ff	0.035486160397445
P12	-7	Saliva	Ff	0.037091988130564
P13	-7	Saliva	Ff	0.029877502240813
P14	-7	Saliva	Ff	0.030039050765996
P15	-7	Saliva	Ff	0.038424591738713
P16	-7	Saliva	Ff	0.035223670306446
P17	-7	Saliva	Ff	0.036383481899218
P18	-7	Saliva	Ff	0.037864445285877
P19	-7	Saliva	Ff	0.033030553261767
P20	-7	Saliva	Ff	0.03988035892323
P21	-7	Saliva	Ff	0.026462026991268
P22	-7	Saliva	Ff	0.033869602032176
P23	-7	Saliva	Ff	0.030674846625767
P24	-7	Saliva	Ff	0.034153005464481
P25	-7	Saliva	Ff	0.040708324852432
P11	21	Tongue	Ff	0.032910975810433
P12	21	Tongue	Ff	0.033428046130704
P13	21	Tongue	Ff	0.025940337224384
P14	21	Tongue	Ff	0.031022180859315
P15	21	Tongue	Ff	0.033172997180295
P16	21	Tongue	Ff	0.026983270372369
P17	21	Tongue	Ff	0.028405056099986
P18	21	Tongue	Ff	0.026595744680851
P19	21	Tongue	Ff	0.029985007496252
P20	21	Tongue	Ff	0.027651043826905
P21	21	Tongue	Ff	0.025
P22	21	Tongue	Ff	0.033112582781457
P23	21	Tongue	Ff	0.026116479498564
P24	21	Tongue	Ff	0.031806615776082
P25	21	Tongue	Ff	0.034441191665232
P11	21	Saliva	Ff	0.035038542396636
P12	21	Saliva	Ff	0.036744442403087
P13	21	Saliva	Ff	0.029433406916851
P14	21	Saliva	Ff	0.031065548306928
P15	21	Saliva	Ff	0.037950664136622
P16	21	Saliva	Ff	0.034758428919013
P17	21	Saliva	Ff	0.034094783498125
P18	21	Saliva	Ff	0.031887755102041
P19	21	Saliva	Ff	0.035810205908684
P20	21	Saliva	Ff	0.039085401602502
P21	21	Saliva	Ff	0.027647221454244
P22	21	Saliva	Ff	0.038255547054323
P23	21	Saliva	Ff	0.03065603923973
P24	21	Saliva	Ff	0.037390166386241
P25	21	Saliva	Ff	0.041937513105473
P11	35	Tongue	Ff	0.028735632183908
P12	35	Tongue	Ff	0.030567018187376
P13	35	Tongue	Ff	0.025
P14	35	Tongue	Ff	0.025
P15	35	Tongue	Ff	0.028939372015627
P16	35	Tongue	Ff	0.028240609997176
P17	35	Tongue	Ff	0.028196813760045
P18	35	Tongue	Ff	0.029695619896065
P19	35	Tongue	Ff	0.030736130321193
P20	35	Tongue	Ff	0.033467202141901
P21	35	Tongue	Ff	0.025
P22	35	Tongue	Ff	0.031496062992126
P23	35	Tongue	Ff	0.025
P24	35	Tongue	Ff	0.032631750693425
P25	35	Tongue	Ff	0.03338898163606
P11	35	Saliva	Ff	0.034054146092287
P12	35	Saliva	Ff	0.036337209302326
P13	35	Saliva	Ff	0.02762812543169
P14	35	Saliva	Ff	0.029291154071471
P15	35	Saliva	Ff	0.035695163305372
P16	35	Saliva	Ff	0.033489618218352
P17	35	Saliva	Ff	0.031421838177533
P18	35	Saliva	Ff	0.039920159680639
P19	35	Saliva	Ff	0.034305317324185
P20	35	Saliva	Ff	0.03741114852226
P21	35	Saliva	Ff	0.028034763106252
P22	35	Saliva	Ff	0.036081544290096
P23	35	Saliva	Ff	0.030646644192461
P24	35	Saliva	Ff	0.036873156342183
P25	35	Saliva	Ff	0.03347280334728
P11	-7	Tongue	Fa	0.038240917782027
P12	-7	Tongue	Fa	0.033129037601458
P13	-7	Tongue	Fa	0.030816640986133
P14	-7	Tongue	Fa	0.027225701061802
P15	-7	Tongue	Fa	0.04104247896573
P16	-7	Tongue	Fa	0.027078256160303
P17	-7	Tongue	Fa	0.032035880185808
P18	-7	Tongue	Fa	0.033129037601458
P19	-7	Tongue	Fa	0.037023324694558
P20	-7	Tongue	Fa	0.034447123665174
P21	-7	Tongue	Fa	0.030759766225777
P22	-7	Tongue	Fa	0.034405642525374
P23	-7	Tongue	Fa	0.032247662044502
P24	-7	Tongue	Fa	0.031397174254317
P25	-7	Tongue	Fa	0.033840947546531
P11	-7	Saliva	Fa	0.031496062992126
P12	-7	Saliva	Fa	0.037369207772795
P13	-7	Saliva	Fa	0.030335204004247
P14	-7	Saliva	Fa	0.030257186081694
P15	-7	Saliva	Fa	0.041442188147534
P16	-7	Saliva	Fa	0.035758984444842
P17	-7	Saliva	Fa	0.037565740045079
P18	-7	Saliva	Fa	0.037771482530689
P19	-7	Saliva	Fa	0.034716195105017
P20	-7	Saliva	Fa	0.041347942939839
P21	-7	Saliva	Fa	0.035001750087504
P22	-7	Saliva	Fa	0.034100596760443
P23	-7	Saliva	Fa	0.029673590504451
P24	-7	Saliva	Fa	0.035938903863432
P25	-7	Saliva	Fa	0.040265753976243
P11	21	Tongue	Fa	0.03359650596338
P12	21	Tongue	Fa	0.032749304077288
P13	21	Tongue	Fa	0.032362459546926
P14	21	Tongue	Fa	0.026983270372369
P15	21	Tongue	Fa	0.043280675178533
P16	21	Tongue	Fa	0.030409001064315
P17	21	Tongue	Fa	0.032605151613955
P18	21	Tongue	Fa	0.027746947835738
P19	21	Tongue	Fa	0.03707823507601
P20	21	Tongue	Fa	0.027746947835738
P21	21	Tongue	Fa	0.032981530343008
P22	21	Tongue	Fa	0.037140204271124
P23	21	Tongue	Fa	0.030969340353051
P24	21	Tongue	Fa	0.033915550279803
P25	21	Tongue	Fa	0.045454545454546
P11	21	Saliva	Fa	0.031751071598667
P12	21	Saliva	Fa	0.037807183364839
P13	21	Saliva	Fa	0.029040220705677
P14	21	Saliva	Fa	0.0319182891797
P15	21	Saliva	Fa	0.04071661237785
P16	21	Saliva	Fa	0.033978933061502
P17	21	Saliva	Fa	0.035505059470975
P18	21	Saliva	Fa	0.031979533098817
P19	21	Saliva	Fa	0.0402252614642
P20	21	Saliva	Fa	0.039808917197452
P21	21	Saliva	Fa	0.037857278061707
P22	21	Saliva	Fa	0.037707390648567
P23	21	Saliva	Fa	0.029372888823616
P24	21	Saliva	Fa	0.037460198539052
P25	21	Saliva	Fa	0.039690414764834
P11	35	Tongue	Fa	0.034524426031417
P12	35	Tongue	Fa	0.029256875365711
P13	35	Tongue	Fa	0.031017369727047
P14	35	Tongue	Fa	0.028240609997176
P15	35	Tongue	Fa	0.032226877215598
P16	35	Tongue	Fa	0.026055237102658
P17	35	Tongue	Fa	0.032010243277849
P18	35	Tongue	Fa	0.031007751937985
P19	35	Tongue	Fa	0.042185192997258
P20	35	Tongue	Fa	0.035167926850712
P21	35	Tongue	Fa	0.033416875522139
P22	35	Tongue	Fa	0.034879665155215
P23	35	Tongue	Fa	0.028078056998456
P24	35	Tongue	Fa	0.032005120819331
P25	35	Tongue	Fa	0.036995930447651
P11	35	Saliva	Fa	0.031147796293412
P12	35	Saliva	Fa	0.033300033300033
P13	35	Saliva	Fa	0.029922202274087
P14	35	Saliva	Fa	0.031959092361777
P15	35	Saliva	Fa	0.033738191632929
P16	35	Saliva	Fa	0.030684258975146
P17	35	Saliva	Fa	0.034548281223009
P18	35	Saliva	Fa	0.038292169251388
P19	35	Saliva	Fa	0.036245016310257
P20	35	Saliva	Fa	0.040160642570281
P21	35	Saliva	Fa	0.034722222222222
P22	35	Saliva	Fa	0.035435861091425
P23	35	Saliva	Fa	0.029424746211564
P24	35	Saliva	Fa	0.029359953024075
P25	35	Saliva	Fa	0.040849673202614
P11	-7	Tongue	So	0.064766839378238
P12	-7	Tongue	So	0.058377116170461
P13	-7	Tongue	So	0.046178711613946
P14	-7	Tongue	So	0.051975051975052
P15	-7	Tongue	So	0.056545094713034
P16	-7	Tongue	So	0.04546487838145
P17	-7	Tongue	So	0.048169556840077
P18	-7	Tongue	So	0.052687038988409
P19	-7	Tongue	So	0.056227157717177
P20	-7	Tongue	So	0.057175528873642
P21	-7	Tongue	So	0.047619047619048
P22	-7	Tongue	So	0.064557779212395
P23	-7	Tongue	So	0.054451402123605
P24	-7	Tongue	So	0.042625745950554
